"OPERATEUR","FILIERE","Année","Code Commune","Nom Commune","Code EPCI","Nom EPCI","Type EPCI","Code Département","Nom Département","Code Région","Nom Région","CODE CATEGORIE CONSOMMATION","CODE GRAND SECTEUR","CODE SECTEUR NAF2","Nb sites","Conso totale (MWh)","Conso moyenne (MWh)","Nombre de mailles secretisées","Conso totale à usages thermosensibles (MWh)","Conso totale à usages non thermosensibles (MWh)","Thermosensibilité totale (kWh DJU)","Conso moyenne à usages thermosensibles (MWh)","Conso moyenne à usages non thermosensibles (MWh)","Thermosensibilité moyenne (kWh DJU)","DJU à TR","DJU à TN","Taux de logements collectifs","Taux de résidences principales","Superficie des logements 30 à 40 m2","Superficie des logements 40 à 60 m2","Superficie des logements 60 à 80 m2","Superficie des logements 80 à 100 m2","Résidences principales avant 1919","Résidences principales de 1919 à 1945","Résidences principales de 1946 à 1970","Résidences principales de 1971 à 1990","Résidences principales de 1991 à 2005","Taux de chauffage électrique","Part thermosensible (%)","Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh)","Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh)","Nombre d'habitants","Superficie des logements <30 m2","Superficie des logements >100 m2","Résidences principales de 2006 à 2018","Résidences principales après 2019"
"Enedis","Electricité",2011,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","AGRICULTURE",,7,940.23,134.318571428571,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2011,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INCONNU",,6,141.5,23.5833333333333,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2011,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INDUSTRIE",,91,40822.17,448.595274725275,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2011,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","TERTIAIRE",,850,221713.68,260.839623529412,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2011,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","RES","RESIDENTIEL",,60096,296121.97,4.92748219515442,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2012,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","AGRICULTURE",,7,919.14,131.305714285714,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2012,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INCONNU",,8,121.01,15.12625,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2012,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INDUSTRIE",,107,41557.61,388.388878504673,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2012,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","TERTIAIRE",,857,226740.37,264.574527421237,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2012,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","RES","RESIDENTIEL",,60923,307728.77,5.05110992564385,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2013,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","AGRICULTURE",,7,926.58,132.368571428571,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2013,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INCONNU",,6,254.84,42.4733333333333,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2013,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INDUSTRIE",,115,43325.24,376.741217391304,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2013,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","TERTIAIRE",,888,224176.04,252.450495495496,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2013,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","RES","RESIDENTIEL",,61235,311637.11,5.08919915081244,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2014,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","AGRICULTURE",,7,874.6,124.942857142857,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2014,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INCONNU",,4,311.33,77.8325,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2014,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INDUSTRIE",,111,42075.36,379.057297297297,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2014,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","TERTIAIRE",,903,213138.84,236.03415282392,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2014,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","RES","RESIDENTIEL",,61827,281262.1,4.54917916120789,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2015,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","AGRICULTURE",,7,983.95,140.564285714286,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2015,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INCONNU",,5,187.94,37.588,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2015,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INDUSTRIE",,115,41954.92,364.825391304348,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2015,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","TERTIAIRE",,907,216175.9,238.341675854465,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2015,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","RES","RESIDENTIEL",,61900,288575.8,4.66196768982229,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2016,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","AGRICULTURE",,11,1698.29,154.39,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2016,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INCONNU",,2,44.44,22.22,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2016,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","INDUSTRIE",,123,42065.21,341.993577235772,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2016,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","ENT","TERTIAIRE",,920,211926.33,230.354706521739,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Enedis","Electricité",2016,"84007","Avignon","248400251","CA du Grand Avignon (COGA)",,"84","Vaucluse","93","Provence-Alpes-Côte d'Azur","RES","RESIDENTIEL",,62371,292215.98,4.68512577960911,0,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,
